Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Id,Venue,Venue Latitude,Venue Longitude,Venue Category
Greenwich Village,40.72693288536128,-73.99991402945902,57b8bd23498e8dbc12e18884,vegan caffe,40.726231,-73.994917,Vegetarian / Vegan Restaurant
East Village,40.727846777270244,-73.98222616506416,549c6881498eaaf3954382f3,Superiority Burger,40.72754947104763,-73.9832897923765,Vegetarian / Vegan Restaurant
East Village,40.727846777270244,-73.98222616506416,55655271498eb729846075da,Mother of Pearl,40.725565929082045,-73.98401151835672,Cocktail Bar
East Village,40.727846777270244,-73.98222616506416,5c4a63b11987ec002cddaece,Spicy Moon,40.72675410362935,-73.98709466079313,Vegetarian / Vegan Restaurant
East Village,40.727846777270244,-73.98222616506416,512eb02ae4b05f74812ab50b,juice press,40.72966021139039,-73.98656501017068,Vegetarian / Vegan Restaurant
East Village,40.727846777270244,-73.98222616506416,4b2fadfdf964a520e6ed24e3,B & H Dairy,40.728357538879855,-73.98790536256817,Vegetarian / Vegan Restaurant
East Village,40.727846777270244,-73.98222616506416,449f923ff964a520c5341fe3,S'MAC,40.730227,-73.983696,Mac & Cheese Joint
East Village,40.727846777270244,-73.98222616506416,42dc4280f964a52036261fe3,Caravan of Dreams,40.72624983765816,-73.9859665315464,Vegetarian / Vegan Restaurant
East Village,40.727846777270244,-73.98222616506416,55f727d7498ec2e384e5b040,Avant Garden,40.72616113541542,-73.98386607655708,Vegetarian / Vegan Restaurant
East Village,40.727846777270244,-73.98222616506416,59a9e7d8f0ca95663b1d398d,Ladybird,40.72651436911113,-73.98466888002645,Vegetarian / Vegan Restaurant
East Village,40.727846777270244,-73.98222616506416,4eaca19730f855f5b2feed5a,The Organic Grill,40.72730639903927,-73.98553941187882,Vegetarian / Vegan Restaurant
East Village,40.727846777270244,-73.98222616506416,4a3ef784f964a52098a31fe3,Souen East Village,40.726828298746966,-73.98719648579794,Vegetarian / Vegan Restaurant
East Village,40.727846777270244,-73.98222616506416,578fa5ed498e1a21ec56415e,Dun-Well Doughnuts,40.727362052022094,-73.98459919876815,Donut Shop
East Village,40.727846777270244,-73.98222616506416,5988e71d69e77b511c06fa18,Ahimsa,40.72831249464623,-73.98329896383194,Vegetarian / Vegan Restaurant
East Village,40.727846777270244,-73.98222616506416,5b6dd915112c6c002c566be5,Vegan Love,40.728523,-73.983258,Vegetarian / Vegan Restaurant
East Village,40.727846777270244,-73.98222616506416,5a91f3966c08d17d58eacb91,Cinnamon Garden,40.726888,-73.98709,Indian Restaurant
East Village,40.727846777270244,-73.98222616506416,4f2b50a8e4b0c642e4b165fd,14 Carrots,40.73198403043889,-73.98396423902786,Vegetarian / Vegan Restaurant
East Village,40.727846777270244,-73.98222616506416,4d338bdf8c42a1cdd919f35d,Quantom Leap,40.72988973971313,-73.98321815233888,Vegetarian / Vegan Restaurant
East Village,40.727846777270244,-73.98222616506416,5a9b06e11b0ea56bb2b80fc2,Plant Made,40.72945590261588,-73.98691768846881,Vegetarian / Vegan Restaurant
East Village,40.727846777270244,-73.98222616506416,4f5fcd09e4b0d3b4932612bc,Organic Soul Cafe,40.72380937415792,-73.98009029584342,Vegetarian / Vegan Restaurant
East Village,40.727846777270244,-73.98222616506416,5b953344b6b04b002c237b92,Joya Loves Louie,40.72855964585653,-73.98712635040283,Vegetarian / Vegan Restaurant
East Village,40.727846777270244,-73.98222616506416,4c80275174d7b60c4c0d6bd8,Washington Square CSA pick-up,40.730240747680156,-73.98682229814402,Vegetarian / Vegan Restaurant
Tribeca,40.721521967443216,-74.01068328559087,520f8c2311d25af014655a24,juice press,40.72204798485456,-74.00974323937518,Vegetarian / Vegan Restaurant
Tribeca,40.721521967443216,-74.01068328559087,4e061d7ba809495e619070c9,Veggie Palace,40.720544592644316,-74.00531256725206,Vegetarian / Vegan Restaurant
Little Italy,40.71932379395907,-73.99730467208073,583cbde018fd2b1949b98e25,by CHLOE.,40.72277,-73.9972,Vegetarian / Vegan Restaurant
Little Italy,40.71932379395907,-73.99730467208073,50770d04e4b0eca51a5714f7,The Butcher's Daughter,40.720592723672716,-73.99490554160472,Vegetarian / Vegan Restaurant
Little Italy,40.71932379395907,-73.99730467208073,59dfe90ed69ed038f9316118,Le Botaniste,40.720544695755194,-74.00013783329237,Vegetarian / Vegan Restaurant
Little Italy,40.71932379395907,-73.99730467208073,4a75edcff964a520b3e11fe3,Wild Ginger Vegetarian Kitchen,40.7204313711967,-73.99663971306008,Asian Restaurant
Little Italy,40.71932379395907,-73.99730467208073,4bb79d4b3db7b7139d42209a,May Wah Vegetarian Market,40.718581585734306,-73.99943664165114,Grocery Store
Little Italy,40.71932379395907,-73.99730467208073,4785ef6ff964a520354d1fe3,Vegetarian Dim Sum House,40.71489232862965,-73.99832147855244,Vegetarian / Vegan Restaurant
